index	text	sentiment	speaker	sentiment	movingave (bin20)	movingave
197	Carefully!	  Neutral	None	0	-0.31707	0.012419
198	 he said.	  Neutral	None	0	-0.31707	0.012419
199	"It is not like you, Bilbo, to keep friends waiting on the mat, and then open the door like a pop-gun!"	  Neutral	Bilbo Baggins	0	-0.36585	-0.036361
200	"Let me introduce Bifur, Bofur, Bombur, and especially Thorin!"	  Neutral	Bombur	0	-0.34146	-0.011971
201	 At your service!	  Neutral	None	0	-0.34146	-0.011971
202	" said Bifur, Bofur, and Bombur standing in a row."	  Neutral	Bombur	0	-0.34146	-0.011971
203	Then they hung up two yellow hoods and a pale green one; and also a sky-blue one with a long silver tassel.	  Neutral	None	0	-0.34146	-0.011971
204	"This last belonged to Thorin, an enormously important dwarf, in fact no other than the great Thorin Oakenshield himself, who was not at all pleased at falling flat on Bilbo's mat with Bifur, Bofur, and Bombur on top of him."	  Negative	Bombur	-1	-0.36585	-0.036361
205	For one thing Bombur was immensely fat and heavy.	  Negative	Bombur	-1	-0.34146	-0.011971
206	"Thorin indeed was very haughty, and said nothing about service; but poor Mr. Baggins said he was sorry so many times, that at last he grunted ""pray don't mention it,"" and stopped frowning."	  Negative	Thorin Oakenshield	-1	-0.31707	0.012419
207	Now we are all here!	  Neutral	None	0	-0.31707	0.012419
208	" said Gandalf, looking at the row of thirteen hoods-the best detachable party hoods-and his own hat hanging on the pegs."	  Negative	Gandalf	-1	-0.29268	0.036809
209	Quite a merry gathering!	  Neutral	None	0	-0.2439	0.085589
210	I hope there is something left for the late-comers to eat and drink!	  Neutral	None	0	-0.26829	0.061199
211	What's that?	  Neutral	None	0	-0.29268	0.036809
212	Tea!	  Neutral	None	0	-0.26829	0.061199
213	No thank you!	  Positive	None	1	-0.2439	0.085589
214	"A little red wine, I think, for me."	  Negative	None	-1	-0.26829	0.061199
215	" And for me,"" said Thorin."	  Neutral	Thorin Oakenshield	0	-0.26829	0.061199
216	"And raspberry jam and apple-tart, said Bifur."	  Neutral	Bifur	0	-0.21951	0.10998
217	"And mince-pies and cheese, said Bofur."	  Neutral	Bofur	0	-0.21951	0.10998
218	"And pork-pie and salad, said Bombur."	  Neutral	Bombur	0	-0.21951	0.10998
219	"And more cakes-and ale-and coffee, if you don't mind, called the other dwarves through the door."	  Negative	None	-1	-0.21951	0.10998
220	"Put on a few eggs, there's a good fellow!"	  Positive	None	1	-0.2439	0.085589
221	" Gandalf called after him, as the hobbit stumped off to the pantries."	  Negative	Gandalf	-1	-0.2439	0.085589
222	And just bring out the cold chicken and pickles!	  Neutral	None	0	-0.26829	0.061199
223	 Seems to know as much about the inside of my larders as I do myself!	  Neutral	None	0	-0.29268	0.036809
224	" thought Mr. Baggins, who was feeling positively flummoxed, and was beginning to wonder whether a most wretched adventure had not come right into his house."	  Negative	None	-1	-0.31707	0.012419
225	"By the time he had got all the bottles and dishes and knives and forks and glasses and plates and spoons and things piled up on big trays, he was getting very hot, and red in the face, and annoyed."	  Positive	None	1	-0.29268	0.036809
226	Confusticate and bebother these dwarves!	  Neutral	None	0	-0.2439	0.085589
227	 he said aloud.	  Neutral	None	0	-0.21951	0.10998
228	Why don't they come and lend a hand?	  Neutral	None	0	-0.21951	0.10998
229	 Lo and behold!	  Positive	None	1	-0.19512	0.13437
230	"there stood Balin and Dwalin at the door of the kitchen, and Fili and Kili behind them, and before he could say knife they had whisked the trays and a couple of small tables into the parlour and set out everything afresh."	  Negative	Balin	-1	-0.19512	0.13437
231	"Gandalf sat at the head of the party with the thirteen, dwarves all round: and Bilbo sat on a stool at the fireside, nibbling at a biscuit (his appetite was quite taken away), and trying to look as if this was all perfectly ordinary and."	  Negative	Bilbo Baggins	-1	-0.21951	0.10998
232	not in the least an adventure.	  Negative	None	-1	-0.21951	0.10998
233	"The dwarves ate and ate, and talked and talked, and time got on."	  Negative	None	-1	-0.2439	0.085589
234	"At last they pushed their chairs back, and Bilbo made a move to collect the plates and glasses."	  Negative	Bilbo Baggins	-1	-0.26829	0.061199
235	I suppose you will all stay to supper?	  Neutral	None	0	-0.21951	0.10998
236	 he said in his politest unpressing tones.	  Neutral	None	0	-0.21951	0.10998
237	Of course!	  Neutral	None	0	-0.21951	0.10998
238	 said Thorin.	  Neutral	Thorin Oakenshield	0	-0.21951	0.10998
239	And after.	  Neutral	None	0	-0.26829	0.061199
240	"We shan't get through the business till late, and we must have some music first."	  Negative	None	-1	-0.2439	0.085589
241	Now to clear up!	  Neutral	None	0	-0.26829	0.061199
242	" Thereupon the twelve dwarves-not Thorin, he was too important, and stayed talking to Gandalf-jumped to their feet and made tall piles of all the things."	  Negative	Thorin Oakenshield	-1	-0.26829	0.061199
243	"Off they went, not waiting for trays, balancing columns of plates, each with a bottle on the top, with one hand, while the hobbit ran after them almost squeaking with fright: ""please be careful!"	  Negative	None	-1	-0.29268	0.036809
244	" and please, don't trouble!"	  Negative	None	-1	-0.31707	0.012419
245	I can manage.	  Neutral	None	0	-0.26829	0.061199
246	 But the dwarves only started to sing: Chip the glasses and crack the plates!	  Positive	None	1	-0.29268	0.036809
247	Blunt the knives and bend the forks!	  Neutral	None	0	-0.29268	0.036809
248	That's what Bilbo Baggins hates- Smash the bottles and burn the corks!	  Neutral	Bilbo Baggins	0	-0.34146	-0.011971
249	Cut the cloth and tread on the fat!	  Neutral	None	0	-0.34146	-0.011971
250	Pour the milk on the pantry floor!	  Neutral	None	0	-0.39024	-0.060751
251	Leave the bones on the bedroom mat!	  Negative	None	-1	-0.41463	-0.085141
252	Splash the wine on every door!	  Neutral	None	0	-0.41463	-0.085141
253	"Dump the crocks in a boiling bawl; Pound them up with a thumping pole; And when you've finished, if any are whole, Send them down the hall to roll !"	  Negative	None	-1	-0.41463	-0.085141
254	That's what Bilbo Baggins hates!	  Neutral	Bilbo Baggins	0	-0.43902	-0.10953
255	"So, carefully!"	  Positive	None	1	-0.46341	-0.13392
256	carefully with the plates!	  Neutral	None	0	-0.4878	-0.15831
257	"And of course they did none of these dreadful things, and everything was cleaned and put away safe as quick as lightning, while the hobbit was turning round and round in the middle of the kitchen trying to see what they were doing."	  Neutral	None	0	-0.4878	-0.15831
258	"Then they went back, and found Thorin with his feet on the fender smoking a pipe."	  Neutral	Thorin Oakenshield	0	-0.5122	-0.18271
259	"He was blowing the most enormous smoke-rings, and wherever he told one to go, it went-up the chimney, or behind the clock on the mantelpiece, or under the table, or round and round the ceiling; but wherever it went it was not quick enough to escape Gandalf."	  Very negative	Gandalf	-2	-0.53659	-0.2071
260	Pop!	  Neutral	None	0	-0.56098	-0.23149
