index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
149	None	"My sister and I have on swimsuits--hers a red floralprint one-piece, mine some baggy old blue trunks."	  Positive	1	-0.090909	-0.095238	0.159784659
150	None	I'm holding a plastic stick in my hand.	  Neutral	0	-0.090909	-0.14286	0.112162659
151	None	White foam is washing over our feet.	  Neutral	0	-0.090909	-0.095238	0.159784659
152	None	"Who took this, and where and when, I have no clue."	  Negative	-1	0	-0.095238	0.159784659
153	None	And how could I have looked so happy?	  Neutral	0	0	-0.14286	0.112162659
154	None	And why did my father keep just that one photo?	  Neutral	0	0	-0.19048	0.064542659
155	None	The whole thing is a total mystery.	  Neutral	0	-0.18182	-0.19048	0.064542659
156	None	"I must have been three, my sister nine."	  Neutral	0	-0.18182	-0.19048	0.064542659
157	None	Did we ever really get along that well?	  Neutral	0	-0.18182	-0.095238	0.159784659
158	None	I have no memory of ever going to the beach with my family.	  Neutral	0	-0.18182	-0.095238	0.159784659
159	None	No memory of going anywhere with them.	  Neutral	0	-0.27273	-0.095238	0.159784659
160	None	"No matter, though--there is no way I'm going to leave that photo with my father, so I put it in my wallet."	  Negative	-1	-0.27273	-0.14286	0.112162659
161	None	I don't have any photos of my mother.	  Neutral	0	-0.27273	-0.14286	0.112162659
162	None	My father threw them all away.	  Neutral	0	-0.18182	-0.14286	0.112162659
163	None	After giving it some thought I decide to take the cell phone with me.	  Negative	-1	-0.18182	-0.095238	0.159784659
164	None	"Once he finds out I've taken it, my father will probably get the phone company to cut off service."	  Negative	-1	-0.18182	-0.14286	0.112162659
165	None	"Still, I toss it into my backpack, along with the adapter."	  Neutral	0	-0.18182	-0.19048	0.064542659
166	None	"Doesn't add much weight, so why not."	  Neutral	0	-0.090909	-0.19048	0.064542659
167	None	When it doesn't work anymore I'll just chuck it.	  Positive	1	-0.090909	-0.2381	0.016922659
168	None	"Just the bare necessities, that's all I need."	  Neutral	0	-0.090909	-0.2381	0.016922659
169	None	Choosing which clothes to take is the hardest thing.	  Neutral	0	-0.090909	-0.28571	-0.030687341
170	None	I'll need a couple sweaters and pairs of underwear.	  Neutral	0	-0.090909	-0.33333	-0.078307341
171	None	But what about shirts and trousers?	  Neutral	0	-0.090909	-0.28571	-0.030687341
172	None	"Gloves, mufflers, shorts, a coat?"	  Neutral	0	-0.18182	-0.2381	0.016922659
173	None	There's no end to it.	  Neutral	0	-0.27273	-0.33333	-0.078307341
174	None	"One thing I do know, though."	  Negative	-1	-0.36364	-0.28571	-0.030687341
175	None	"I don't want to wander around some strange place with a huge backpack that screams out, Hey, everybody, check out the runaway!"	  Negative	-1	-0.45455	-0.28571	-0.030687341
176	None	Do that and someone is sure to sit up and take notice.	  Neutral	0	-0.45455	-0.33333	-0.078307341
177	None	Next thing you know the police will haul me in and I'll be sent straight home.	  Negative	-1	-0.36364	-0.38095	-0.125927341
178	None	If I don't wind up in some gang first.	  Neutral	0	-0.54545	-0.38095	-0.125927341
179	None	"Any place cold is definitely out, I decide."	  Negative	-1	-0.54545	-0.42857	-0.173547341
180	None	"Easy enough, just choose the opposite-- a warm place."	  Negative	-1	-0.54545	-0.47619	-0.221167341
181	None	"Then I can leave the coat and gloves behind, and get by with half the clothes."	  Neutral	0	-0.54545	-0.52381	-0.268787341
182	None	"I pick out wash-and-wear-type things, the lightest ones I have, fold them neatly, and stuff them in my backpack."	  Positive	1	-0.63636	-0.52381	-0.268787341
183	None	"I also pack a three-season sleeping bag, the kind that rolls up nice and tight, toilet stuff, a rain poncho, notebook and pen, a Walkman and ten discs--got to have my music--along with a spare rechargeable battery."	  Very negative	-2	-0.45455	-0.52381	-0.268787341
184	None	That's about it.	  Neutral	0	-0.54545	-0.57143	-0.316407341
185	None	"No need for any cooking gear, which is too heavy and takes up too much room, since I can buy food at the local convenience store."	  Negative	-1	-0.54545	-0.52381	-0.268787341
